timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678165241694,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-21,text,false,,875,0,1,1,null,0,0,0
1678165241694,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-21,text,false,,875,0,1,1,null,0,0,0
1678165241707,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-22,text,false,,875,0,1,1,null,0,0,0
1678165241707,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-22,text,false,,875,0,1,1,null,0,0,0
1678165241714,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-23,text,false,,875,0,1,1,null,0,0,0
1678165241715,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-23,text,false,,875,0,1,1,null,0,0,0
1678165241724,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-24,text,false,,875,0,1,1,null,0,0,0
1678165241724,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-24,text,false,,875,0,1,1,null,0,0,0
1678165241733,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-25,text,false,,875,0,1,1,null,0,0,0
1678165241733,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-25,text,false,,875,0,1,1,null,0,0,0
1678165241743,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-26,text,false,,875,0,1,1,null,0,0,0
1678165241743,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-26,text,false,,875,0,1,1,null,0,0,0
1678165241753,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-27,text,false,,875,0,1,1,null,0,0,0
1678165241753,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-27,text,false,,875,0,1,1,null,0,0,0
1678165241763,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-28,text,false,,875,0,1,1,null,0,0,0
1678165241764,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-28,text,false,,875,0,1,1,null,0,0,0
1678165241772,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-29,text,false,,875,0,1,1,null,0,0,0
1678165241773,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-29,text,false,,875,0,1,1,null,0,0,0
1678165241783,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-30,text,false,,875,0,1,1,null,0,0,0
